Representation,Model,Features,Train_Time_s,Train_Macro_F1,Val_Accuracy,Val_Balanced_Acc,Val_Macro_P,Val_Macro_R,Val_Macro_F1,Val_Weighted_F1,Train_Val_Gap,Status
Word_TFIDF,MultinomialNB,3000,0.007,0.6335,0.5262,0.3824,0.6482,0.3824,0.3954,0.4913,0.2381,Overfitting
Word_TFIDF,LogisticRegression,3000,6.32,0.6974,0.5525,0.4311,0.6252,0.4311,0.4521,0.5283,0.2453,Overfitting
Word_TFIDF,LinearSVM,3000,0.067,0.9239,0.5379,0.4731,0.5183,0.4731,0.4882,0.5307,0.4357,Overfitting
Word_TFIDF,RandomForest,3000,0.256,0.6631,0.4738,0.3357,0.4689,0.3357,0.3404,0.4199,0.3227,Overfitting
Char_TFIDF,MultinomialNB,5000,0.008,0.5713,0.5,0.3753,0.4895,0.3753,0.3847,0.4785,0.1866,Overfitting
Char_TFIDF,LogisticRegression,5000,9.094,0.6567,0.5394,0.4135,0.5398,0.4135,0.4296,0.5207,0.2271,Overfitting
Char_TFIDF,LinearSVM,5000,0.599,0.8877,0.5248,0.4517,0.4825,0.4517,0.4598,0.5165,0.4278,Overfitting
Char_TFIDF,RandomForest,5000,0.81,0.8966,0.484,0.3497,0.487,0.3497,0.36,0.4508,0.5366,Overfitting
Hybrid_TFIDF,MultinomialNB,6000,0.01,0.6708,0.5423,0.4501,0.5784,0.4501,0.4703,0.5343,0.2005,Overfitting
Hybrid_TFIDF,LogisticRegression,6000,10.465,0.7807,0.5685,0.4685,0.5719,0.4685,0.4917,0.5565,0.289,Overfitting
Hybrid_TFIDF,LinearSVM,6000,0.246,0.9777,0.5277,0.4705,0.4984,0.4705,0.4796,0.5234,0.4981,Overfitting
Hybrid_TFIDF,RandomForest,6000,0.675,0.9057,0.465,0.3351,0.4298,0.3351,0.3444,0.4337,0.5613,Overfitting
